내용, 하위 명령, 생성,OID
전압,1," 지침 치전압 전송의 단일 단위(mv) 셀 전압당 2바이트 [Data0/ Data1].  Data0 
상위 3 비트는 각각 배터리 균등화 플래그 비트 배터리 과 전압 플래그 비트 배터리 저전압 플래그 비트입니다
(아래 루틴 참조).Data0 하위 5 비트와 Data1은 데이터 비트를 형성합니다.",1.3.6.1.2.1.32.1.1.0
전류,2, 전류(0.01A 단위)를 읽고 2바이트 [Data0/Data1]을 반환합니다.  충전 시 양수 값 방전 시 음수 값. 오프셋: 300A .  Current_value = (30000 - (Data0 * 256 + Data1)) / 100; 예. 보호 보드 업로드 값: 30101 Current_value = (30000-30101)/100= -1.01 따라서 실제 전류는 1.01A가 방전됩니다.  (30000보다 큰 업로드는 방전 30000보다 작은 업로드는 충전 30000은 정지).,
SOC,3, 현재 충전 상태 SOC 읽기 2바이트 [Data0/Data1] 반환(단위: 0.01),
용량,4, 배터리 팩 용량 읽기(단위: 0.01AH) 반환값 2바이트 [Data0/Data1]. 범위: 1AH~600AH,
온도,5, 온도 읽기(섭씨 1도 단위) 주소: 온도 시퀀스용 오프셋 -50도 예. 보호 보드 업로드 값: 0 실제 값: -50도 반환 값은 2바이트 [Data0/Data1]이며 Data0의 상위 3비트는 MOS 온도 PCB 온도 주변 온도이고 상위 4비트는 0으로 배터리 셀의 온도를 의미합니 다.  하위 4비트는 저온 과열 저온 및 과열의 플래그 비트입니다.,
고장 보증 보호 알람 상태,6, 배터리 팩 상태를 읽습니다.,
,,10바이트 [Data0...Data9],
,,Data0.,
,,BIT0: (Reserved),
,,BIT1: (Reserved),
,,BIT2: (Reserved),
,,BIT3: 모노블록 저전압 결함(V1.3)(결함) BIT4: 전압 샘플링 라인,
,,끊김(결함),
,,BIT5: 충전 MOS 손상(결함),
,,BIT6: 방전 MOS 손상(결함),
,,BIT7: 전압 샘플링 요소 손상(결함),
,,Data1.,
,,BIT0: 온도 센서 연결이 끊어짐(결함),
,,BIT1: 전류 샘플링 요소 손상(결함),
,,BIT2: 역방향 충전기 연결(보호),
,,BIT3: (예약됨),
,,BIT4:(예약됨),
,,BIT5:(예약됨),
,,BIT6:(예약됨),
,,BIT7: (예약됨),
,,Data2:,
,,Bit0: 방전 과열 보호(방전 방지),
,,Bit1: 방전 저온 보호(방전 방지),
,,Bit2: 전체 과전압 보호(보호),
,,Bit3: 시작 실패(보호),
,,Bit4: 충전 MOS 연결이 끊어짐(상태),
,,Bit5: 방전 MOS 연결이 끊어짐(상태),
,,Bit6: 프런트엔드 획득 칩 통신 시간 초과(오류),
,,Bit7: 전반적인 저전압 보호(보호),
,,Data3:,
,,Bit0: 충전 상태(상태),
,,Bit1: 방전 상태(상태),
,,Bit2: 단락 보호(보호),
,,Bit3: 과전류 보호(보호) 返回值,
,,Bit4: 과전압 보호(보호),
,,Bit5: 저전압 보호(보호),
,,Bit6: 충전 과열 보호(보호 기능),
,,Bit7: 충전 저온 보호(보호 기능),
,,Data4:,
,,Bit0: 환경적 냉동 보호,
,,Bit1: 장애 경보 트렁크 노드 조치(V1.3)(상태),
,,Bit2: 중요 경보 트렁크 노드 조치(V1.3)(상태),
,,Bit3:(예약됨),
,,Bit4: (예약됨),
,,Bit5: (예약됨),
,,Bit6: (예약됨),
,,Data5:,
,,Bit0: 강제 충전(상태),
,,Bit1: 충전 강제 종료(상태),
,,Bit2: 강제 방전(상태),
,,Bit3: 강제 종료(상태) 방전 返回值,
,,Bit4: 상태 비트의 가열 패드(상태),
,,Bit5: MOSFET과열 보호(보호),
,,Bit6: MOSFET저온 보호(보호),
,,Bit7: 환경 열 보호(보호),
,,Data6 。。。(예약됨),
,,Data7：,
,,Bit0: 예약됨(SOC2 알림을 위해 예약됨) 返回值,
,,Bit1: 예약됨(진동 알람용으로 예약됨),
,,Bit2: 미정-건식 접점 1(타워 제품-화재 경보),
,,Bit3: tbd건식 접촉2,
,,Bit4: 열림 감지 알람,
,,Bit5: 온도 센서 단락 返回值,
,,Bit6: (예약됨),
,,Bit7:(예약됨),
,,Data8:,
,,Bit0: 환경 과열 경보(알람),
,,Bit1: 주변 저온 경보(알람),
,,Bit2: PCB 과열 경고(알람),
,,Bit3: 용량 부족 경보(알람),
,,Bit4: 차압 초과 경보(알람),
,,Bit5: 방전 온도 알람(충전 및 방전 온도 알람이 구분되는 경우 사용)(알람) (알,
,,람),
,,Bit6: 방전 온도 알람(충전 및 방전 온도 알람이 구분되는 경우 사용)(알람) (알,
,,람),
,,Bit7:(예약됨),
,,Data9:,
,,Bit0: 개별 과압 경보(알람),
,,Bit1: 단일 장치 저전압 경보(알람),
,,Bit2: 일반 과압 경보(알람),
,,Bit3: 전체 저전압 경보(알람),
,,Bit4: 충전 과전류 경보(알람),
,,Bit5: 흐름 경보(알람) 해제,
,,Bit6: 배터리 과열 경보(알람),
,,Bit7: 배터리 저온 경보(알람),
주기 횟수,7,（V1.2） 읽기 사이클 카운트(단위 시간)  2바이트 반환 [Data0/Data1] 사이클 카운트 = Data0*256 + Data1,
전체전압,8,（V1.2） 총 전압 읽기(단위 0.01V) 총 전압 = 데이터0*256 + 데이터1,
SOH,9,（V1.2） SOH 읽기(단위: 0.01%) SOH = 데이터0*256 + 데이터1,
보호상태 ,10,（V1.2） BMS 보호 상태 비트 읽기; 보호 상태 비트 = Data0*256 + Data1,
